Time,Assembly,Material,OpenOrders,NewOrders,TotalWork,TotalSetup,SumDuration,SumOperations,ProductionOrders,CycleTime,OrderId,CreationTime,FinishingTime
3,0,0,0,0,0,0,153,15,3,2095,16686,3,2098
75,0,0,0,0,0,0,193,20,4,2403,17104,75,2478
176,0,0,0,0,0,0,255,25,5,3185,17658,176,3361
185,0,0,0,0,0,0,255,25,5,3185,18351,185,3370
202,0,0,0,0,0,0,399,40,8,-202,18362,202,0
220,0,0,0,0,0,0,255,25,5,3392,19475,220,3612
264,0,0,0,0,0,0,155,15,3,2018,20165,264,2282
291,0,0,0,0,0,0,199,20,4,3548,20591,291,3839
337,0,0,0,0,0,0,161,15,3,3040,21153,337,3377
587,2.08125,85937490,10,10,5.55,11.19,254,25,5,2626,21567,587,3213
646,2.08125,85937490,10,10,5.55,11.19,199,20,4,2600,22267,646,3246
747,2.08125,85937490,10,10,5.55,11.19,147,15,3,1723,22823,747,2470
813,2.08125,85937490,10,10,5.55,11.19,161,15,3,1681,23241,813,2494
888,2.08125,85937490,10,10,5.55,11.19,147,15,3,2110,23250,888,2998
926,2.08125,85937490,10,10,5.55,11.19,442,45,9,-926,23669,926,0
1002,10.755208,147302060,16,6,7.88,11.85,153,15,3,2862,24919,1002,3864
1090,10.755208,147302060,16,6,7.88,11.85,158,15,3,-1090,24929,1090,0
1092,10.755208,147302060,16,6,7.88,11.85,254,25,5,-1092,25342,1092,0
1199,10.755208,147302060,16,6,7.88,11.85,209,20,4,-1199,25354,1199,0
1212,10.755208,147302060,16,6,7.88,11.85,255,25,5,-1212,25909,1212,0
1233,10.755208,147302060,16,6,7.88,11.85,155,15,3,-1233,25919,1233,0
1599,14.746528,219444420,22,6,8.55,11.06,151,15,3,2246,25929,1599,3845
1685,14.746528,219444420,22,6,8.55,11.06,147,15,3,-1685,26354,1685,0
1756,14.746528,219444420,22,6,8.55,11.06,442,45,9,-1756,26362,1756,0
1793,14.746528,219444420,22,6,8.55,11.06,155,15,3,-1793,26381,1793,0
1863,14.746528,219444420,22,6,8.55,11.06,161,15,3,-1863,26390,1863,0
1863,14.746528,219444420,22,6,8.55,11.06,155,15,3,-1863,26400,1863,0
1981,22.328646,198281220,28,6,8.6,11.01,158,15,3,-1981,26402,1981,0
2103,22.328646,198281220,28,6,8.6,11.01,417,40,8,-2103,26419,2103,0
2158,22.328646,198281220,28,6,8.6,11.01,193,20,4,-2158,27532,2158,0
2185,22.328646,198281220,28,6,8.6,11.01,147,15,3,-2185,27542,2185,0
2292,22.328646,198281220,28,6,8.6,11.01,253,25,5,-2292,27549,2292,0
2334,22.328646,198281220,28,6,8.6,11.01,147,15,3,-2334,28240,2334,0
2464,25.285418,226662460,32,6,8.23,10.02,199,20,4,-2464,28249,2464,0
2637,25.285418,226662460,32,6,8.23,10.02,156,15,3,-2637,28268,2637,0
2759,25.285418,226662460,32,6,8.23,10.02,442,45,9,-2759,28684,2759,0
2918,30.261806,267031200,32,3,8.77,10.75,255,25,5,-2918,28706,2918,0
3152,30.261806,267031200,32,3,8.77,10.75,150,15,3,-3152,28719,3152,0
3195,30.261806,267031200,32,3,8.77,10.75,147,15,3,-3195,29135,3195,0
3237,30.261806,267031200,32,3,8.77,10.75,255,25,5,-3237,29143,3237,0
3247,30.261806,267031200,32,3,8.77,10.75,255,25,5,-3247,29155,3247,0
3285,30.261806,267031200,32,3,8.77,10.75,158,15,3,-3285,29166,3285,0
3330,30.261806,267031200,32,3,8.77,10.75,442,45,9,-3330,29580,3330,0
3410,30.054167,272363040,36,7,8.56,10.38,150,15,3,-3410,29600,3410,0
3430,30.054167,272363040,36,7,8.56,10.38,145,15,3,-3430,29611,3430,0
3538,30.054167,272363040,36,7,8.56,10.38,161,15,3,-3538,30029,3538,0
3550,30.054167,272363040,36,7,8.56,10.38,193,20,4,-3550,30036,3550,0
3675,30.054167,272363040,36,7,8.56,10.38,152,15,3,-3675,30045,3675,0
3694,30.054167,272363040,36,7,8.56,10.38,397,40,8,-3694,30467,3694,0
3727,30.054167,272363040,36,7,8.56,10.38,158,15,3,-3727,31582,3727,0
3732,30.054167,272363040,36,7,8.56,10.38,149,15,3,-3732,31589,3732,0
3740,30.054167,272363040,36,7,8.56,10.38,147,15,3,-3740,32002,3740,0
3769,30.054167,272363040,36,7,8.56,10.38,201,20,4,-3769,32010,3769,0
3811,30.054167,272363040,36,7,8.56,10.38,397,40,8,-3811,32570,3811,0
3923,29.682552,334341100,42,11,9.52,10.12,399,40,8,-3923,32589,3923,0
3949,29.682552,334341100,42,11,9.52,10.12,209,20,4,-3949,32610,3949,0
3994,29.682552,334341100,42,11,9.52,10.12,152,15,3,-3994,32622,3994,0
4028,29.682552,334341100,42,11,9.52,10.12,255,25,5,-4028,32632,4028,0
